Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14
;(2019-06-02;10:39:49.504998);can0;601;[8];0B;82;10;1C;01;0F;02;80
;(2019-06-02;10:39:49.505748);can0;602;[8];00;62;0;00;14;D7;01;00
;(2019-06-02;10:39:49.609424);can0;601;[8];0B;8C;10;1C;01;1D;02;82
;(2019-06-02;10:39:49.610180);can0;602;[8];00;62;0;00;14;D7;01;00
;(2019-06-02;10:39:49.713847);can0;601;[8];0B;93;10;1C;01;19;02;82
;(2019-06-02;10:39:49.714593);can0;602;[8];00;63;0;00;14;D7;01;00
;(2019-06-02;10:39:49.818251);can0;601;[8];0B;97;10;1C;01;13;02;82
;(2019-06-02;10:39:49.818999);can0;602;[8];00;63;0;00;15;D7;01;00
;(2019-06-02;10:39:49.918620);can0;601;[8];0B;96;10;1C;01;0A;02;82
;(2019-06-02;10:39:49.919370);can0;602;[8];00;63;0;00;17;D7;01;00
;(2019-06-02;10:39:50.023023);can0;601;[8];0B;97;10;1C;01;1D;02;82
;(2019-06-02;10:39:50.023784);can0;602;[8];00;63;0;00;1A;D7;01;00
;(2019-06-02;10:39:50.131576);can0;601;[8];0B;9A;10;1C;01;26;02;80
;(2019-06-02;10:39:50.132322);can0;602;[8];00;63;0;00;1D;D7;01;00
;(2019-06-02;10:39:50.235878);can0;601;[8];0B;9A;10;1C;01;23;02;82
;(2019-06-02;10:39:50.236629);can0;602;[8];00;63;0;00;21;D7;01;00
;(2019-06-02;10:39:50.340369);can0;601;[8];0B;9D;10;1C;01;26;02;80
;(2019-06-02;10:39:50.341119);can0;602;[8];00;63;0;00;26;D7;01;00
;(2019-06-02;10:39:50.444713);can0;601;[8];0B;A1;10;1C;01;20;02;82
;(2019-06-02;10:39:50.445470);can0;602;[8];00;63;0;00;2B;D7;01;00
;(2019-06-02;10:39:50.545145);can0;601;[8];0B;A4;10;1C;01;28;02;80
;(2019-06-02;10:39:50.545894);can0;602;[8];00;63;0;00;2E;D7;01;00
;(2019-06-02;10:39:50.645518);can0;601;[8];0B;A4;10;1C;01;28;02;82
;(2019-06-02;10:39:50.646267);can0;602;[8];00;63;0;00;2F;D7;01;00
;(2019-06-02;10:39:50.749935);can0;601;[8];0B;A8;10;1C;01;2A;02;80
;(2019-06-02;10:39:50.750736);can0;602;[8];00;63;0;00;30;D7;01;00
;(2019-06-02;10:39:50.854363);can0;601;[8];0B;A8;10;1C;01;22;02;80
;(2019-06-02;10:39:50.855112);can0;602;[8];00;63;0;00;30;D7;01;00
;(2019-06-02;10:39:50.962750);can0;601;[8];0B;AA;10;1C;01;1E;02;82
;(2019-06-02;10:39:50.963513);can0;602;[8];00;63;0;00;30;D7;01;00
;(2019-06-02;10:39:51.063183);can0;601;[8];0B;AB;10;1C;01;1D;02;82
;(2019-06-02;10:39:51.063930);can0;602;[8];00;64;0;00;30;D7;01;00
;(2019-06-02;10:39:51.163539);can0;601;[8];0B;AC;10;1C;01;26;02;82
;(2019-06-02;10:39:51.164287);can0;602;[8];00;64;0;00;30;D7;01;00
;(2019-06-02;10:39:51.267941);can0;601;[8];0B;AE;10;1C;01;1D;02;82
;(2019-06-02;10:39:51.268690);can0;602;[8];00;64;0;00;30;D7;01;00
;(2019-06-02;10:39:51.372359);can0;601;[8];0B;B0;10;1C;01;19;02;82
;(2019-06-02;10:39:51.373109);can0;602;[8];00;64;0;00;30;D7;01;00
;(2019-06-02;10:39:51.476777);can0;601;[8];0B;B0;10;1C;01;1C;02;82
;(2019-06-02;10:39:51.477533);can0;602;[8];00;64;0;00;30;D7;01;00
;(2019-06-02;10:39:51.581170);can0;601;[8];0B;B3;10;1C;01;1A;02;80
;(2019-06-02;10:39:51.581919);can0;602;[8];00;64;0;00;30;D7;01;00
;(2019-06-02;10:39:51.685640);can0;601;[8];0B;B4;10;1C;01;1D;02;82
;(2019-06-02;10:39:51.686393);can0;602;[8];00;64;0;00;30;D7;01;00
;(2019-06-02;10:39:51.790046);can0;601;[8];0B;B4;10;1C;01;19;02;80
;(2019-06-02;10:39:51.790818);can0;602;[8];00;64;0;00;30;D7;01;00
;(2019-06-02;10:39:51.894460);can0;601;[8];0B;B6;10;1C;01;11;02;80
;(2019-06-02;10:39:51.895209);can0;602;[8];00;64;0;00;30;D7;01;00
;(2019-06-02;10:39:51.998853);can0;601;[8];0B;B9;10;1C;01;14;02;82
;(2019-06-02;10:39:51.999597);can0;602;[8];00;64;0;00;30;D7;01;00
;(2019-06-02;10:39:52.103241);can0;601;[8];0B;B9;10;1C;01;12;02;80
;(2019-06-02;10:39:52.103992);can0;602;[8];00;64;0;00;30;D7;01;00
;(2019-06-02;10:39:52.207643);can0;601;[8];0B;B9;10;1C;01;1A;02;82
;(2019-06-02;10:39:52.208394);can0;602;[8];00;64;0;00;30;D7;01;00
;(2019-06-02;10:39:52.308060);can0;601;[8];0B;B9;10;1C;01;15;02;82
;(2019-06-02;10:39:52.308811);can0;602;[8];00;64;0;00;2F;D7;01;00
;(2019-06-02;10:39:52.412512);can0;601;[8];0B;BC;10;1C;01;19;02;82
;(2019-06-02;10:39:52.413260);can0;602;[8];00;64;0;00;2D;D7;01;00
;(2019-06-02;10:39:52.517032);can0;601;[8];0B;BB;10;1C;01;17;02;80
;(2019-06-02;10:39:52.517781);can0;602;[8];00;64;0;00;2A;D7;01;00
;(2019-06-02;10:39:52.621377);can0;601;[8];0B;BC;10;1C;01;18;02;82
;(2019-06-02;10:39:52.622132);can0;602;[8];00;64;0;00;29;D7;01;00
;(2019-06-02;10:39:52.725708);can0;601;[8];0B;BA;10;1C;01;1B;02;82
;(2019-06-02;10:39:52.726458);can0;602;[8];00;64;0;00;28;D7;01;00
;(2019-06-02;10:39:52.830146);can0;601;[8];0B;B9;10;1C;01;19;02;82
;(2019-06-02;10:39:52.830917);can0;602;[8];00;64;0;00;25;D7;01;00
;(2019-06-02;10:39:52.930591);can0;601;[8];0B;BA;10;1C;01;16;02;82
;(2019-06-02;10:39:52.931381);can0;602;[8];00;64;0;00;23;D7;01;00
;(2019-06-02;10:39:53.034933);can0;601;[8];0B;BA;10;1C;01;19;02;82
;(2019-06-02;10:39:53.035682);can0;602;[8];00;64;0;00;21;D7;01;00
;(2019-06-02;10:39:53.139363);can0;601;[8];0B;BC;10;1C;01;13;02;82
;(2019-06-02;10:39:53.140104);can0;602;[8];00;64;0;00;1F;D7;01;00
;(2019-06-02;10:39:53.243792);can0;601;[8];0B;BC;10;1C;01;16;02;80
;(2019-06-02;10:39:53.244544);can0;602;[8];00;64;0;00;1E;D7;01;00
;(2019-06-02;10:39:53.348252);can0;601;[8];0B;BA;10;1C;01;0E;02;82
;(2019-06-02;10:39:53.349003);can0;602;[8];00;64;0;00;1D;D7;01;00
;(2019-06-02;10:39:53.448568);can0;601;[8];0B;BB;10;1C;01;10;02;80
;(2019-06-02;10:39:53.449315);can0;602;[8];00;64;0;00;1C;D7;01;00
;(2019-06-02;10:39:53.552952);can0;601;[8];0B;BA;10;1C;01;16;02;82
;(2019-06-02;10:39:53.553709);can0;602;[8];00;64;0;00;1B;D7;01;00
;(2019-06-02;10:39:53.657428);can0;601;[8];0B;BA;10;1C;01;12;02;82
;(2019-06-02;10:39:53.658221);can0;602;[8];00;64;0;00;19;D7;01;00
;(2019-06-02;10:39:53.761849);can0;601;[8];0B;BA;10;1C;01;0E;02;80
;(2019-06-02;10:39:53.762600);can0;602;[8];00;64;0;00;18;D7;01;00
;(2019-06-02;10:39:53.866289);can0;601;[8];0B;BA;10;1C;01;0E;02;82
;(2019-06-02;10:39:53.867033);can0;602;[8];00;64;0;00;17;D7;01;00
;(2019-06-02;10:39:53.970660);can0;601;[8];0B;B9;10;1C;01;0C;02;82
;(2019-06-02;10:39:53.971413);can0;602;[8];00;64;0;00;17;D7;01;00
;(2019-06-02;10:39:54.075086);can0;601;[8];0B;BA;10;1C;01;0A;02;82
;(2019-06-02;10:39:54.075840);can0;602;[8];00;64;0;00;16;D7;01;00
;(2019-06-02;10:39:54.179475);can0;601;[8];0B;BB;10;1C;01;0A;02;82
;(2019-06-02;10:39:54.180231);can0;602;[8];00;64;0;00;15;D7;01;00
;(2019-06-02;10:39:54.283854);can0;601;[8];0B;B9;10;1C;01;0C;02;80
;(2019-06-02;10:39:54.284599);can0;602;[8];00;64;0;00;14;D7;01;00
;(2019-06-02;10:39:54.384283);can0;601;[8];0B;BA;10;1C;01;11;02;80
;(2019-06-02;10:39:54.385028);can0;602;[8];00;64;0;00;13;D7;01;00
;(2019-06-02;10:39:54.492672);can0;601;[8];0B;B9;10;1C;01;14;02;82
;(2019-06-02;10:39:54.493425);can0;602;[8];00;64;0;00;12;D7;01;00
;(2019-06-02;10:39:54.593122);can0;601;[8];0B;BA;10;1C;01;15;02;82
;(2019-06-02;10:39:54.593873);can0;602;[8];00;64;0;00;11;D7;01;00
;(2019-06-02;10:39:54.697560);can0;601;[8];0B;B8;10;1C;01;11;02;82
;(2019-06-02;10:39:54.698307);can0;602;[8];00;64;0;00;11;D7;01;00
;(2019-06-02;10:39:54.805957);can0;601;[8];0B;B8;10;1C;01;0E;02;82
;(2019-06-02;10:39:54.806705);can0;602;[8];00;64;0;00;10;D7;01;00
;(2019-06-02;10:39:54.910420);can0;601;[8];0B;98;10;1C;00;9B;02;82
;(2019-06-02;10:39:54.911187);can0;602;[8];00;63;0;00;0F;D7;03;00
;(2019-06-02;10:39:55.010737);can0;601;[8];0B;43;10;1C;00;8B;02;85
;(2019-06-02;10:39:55.011487);can0;602;[8];00;5F;0;00;0E;D7;03;00
;(2019-06-02;10:39:55.111238);can0;601;[8];0A;BF;10;1C;00;DA;02;88
;(2019-06-02;10:39:55.111989);can0;602;[8];00;5B;0;00;0E;D7;03;00
;(2019-06-02;10:39:55.211528);can0;601;[8];0A;25;10;1C;01;22;02;88
;(2019-06-02;10:39:55.212276);can0;602;[8];00;56;0;00;0E;D7;03;00
;(2019-06-02;10:39:55.311943);can0;601;[8];09;73;10;1C;01;5A;02;88
;(2019-06-02;10:39:55.312692);can0;602;[8];00;51;0;00;0E;D7;03;00
;(2019-06-02;10:39:55.416347);can0;601;[8];08;A4;10;1C;01;85;02;88
;(2019-06-02;10:39:55.417099);can0;602;[8];00;4B;0;00;0E;D7;03;00
;(2019-06-02;10:39:55.520707);can0;601;[8];07;BD;10;1C;01;A0;02;88
;(2019-06-02;10:39:55.521451);can0;602;[8];00;42;0;00;0E;D7;03;00
;(2019-06-02;10:39:55.621146);can0;601;[8];06;D9;10;1C;01;A7;02;88
;(2019-06-02;10:39:55.621900);can0;602;[8];00;3A;0;00;0E;D7;03;00
;(2019-06-02;10:39:55.725583);can0;601;[8];05;E7;10;1C;01;A3;02;88
;(2019-06-02;10:39:55.726337);can0;602;[8];00;33;0;00;0E;D7;03;00
;(2019-06-02;10:39:55.825965);can0;601;[8];04;FE;10;1C;01;9F;02;88
;(2019-06-02;10:39:55.826716);can0;602;[8];00;2C;0;00;0E;D7;03;00
;(2019-06-02;10:39:55.930411);can0;601;[8];04;0E;10;1C;01;9F;02;88
;(2019-06-02;10:39:55.931172);can0;602;[8];00;24;0;00;0E;D7;03;00
;(2019-06-02;10:39:56.034796);can0;601;[8];03;3B;10;1C;01;72;02;85
;(2019-06-02;10:39:56.035572);can0;602;[8];00;1B;0;00;0E;D7;03;00
;(2019-06-02;10:39:56.139205);can0;601;[8];02;CF;10;1C;01;29;02;85
;(2019-06-02;10:39:56.139999);can0;602;[8];00;18;0;00;0E;D7;03;00
